,0,1,2
23044,24,25,inf
23045,24,25,inf
23047,24,25,inf
23048,24,25,inf
23049,24,25,inf
23400,25,26,inf
23401,25,26,inf
23402,25,26,inf
23403,25,26,inf
23404,25,26,inf
23405,25,26,inf
23406,25,26,inf
23407,25,26,inf
23408,25,26,inf
23409,25,26,inf
23410,25,26,inf
23412,25,26,inf
23414,25,26,inf
23415,25,26,inf
23416,25,26,inf
23417,25,26,inf
23418,25,26,inf
23419,25,26,inf
23420,25,26,inf
23421,25,26,inf
23422,25,26,inf
23423,25,26,inf
23424,25,26,inf
23425,25,26,inf
23426,25,26,inf
23427,25,26,inf
23429,25,26,inf
23430,25,26,inf
23431,25,26,inf
23432,25,26,inf
23433,25,26,inf
23434,25,26,inf
23435,25,26,inf
23436,25,26,inf
23437,25,26,inf
23438,25,26,inf
23440,25,26,inf
23442,25,26,inf
23443,25,26,inf
23444,25,26,inf
23445,25,26,inf
23446,25,26,inf
23448,25,26,inf
23750,26,27,inf
23751,26,27,inf
23752,26,27,inf
23753,26,27,inf
23754,26,27,inf
23755,26,27,inf
23756,26,27,inf
23757,26,27,inf
23758,26,27,inf
23759,26,27,inf
23760,26,27,inf
23761,26,27,inf
23762,26,27,inf
23763,26,27,inf
23764,26,27,inf
23765,26,27,inf
23766,26,27,inf
23767,26,27,inf
23768,26,27,inf
23769,26,27,inf
23770,26,27,inf
23771,26,27,inf
23772,26,27,inf
23773,26,27,inf
23774,26,27,inf
23775,26,27,inf
23776,26,27,inf
23777,26,27,inf
23778,26,27,inf
23779,26,27,inf
23780,26,27,inf
23781,26,27,inf
23782,26,27,inf
23783,26,27,inf
23784,26,27,inf
23785,26,27,inf
23786,26,27,inf
23787,26,27,inf
23788,26,27,inf
23789,26,27,inf
23790,26,27,inf
23791,26,27,inf
23792,26,27,inf
23793,26,27,inf
23794,26,27,inf
23795,26,27,inf
23796,26,27,inf
23797,26,27,inf
23798,26,27,inf
23799,26,27,inf
24050,27,28,inf
24051,27,28,inf
24052,27,28,inf
24053,27,28,inf
24054,27,28,inf
24055,27,28,inf
24056,27,28,inf
24057,27,28,inf
24058,27,28,inf
24059,27,28,inf
24060,27,28,inf
24061,27,28,inf
24062,27,28,inf
24063,27,28,inf
24064,27,28,inf
24065,27,28,inf
24066,27,28,inf
24067,27,28,inf
24068,27,28,inf
24069,27,28,inf
24070,27,28,inf
24071,27,28,inf
24072,27,28,inf
24073,27,28,inf
24074,27,28,inf
24075,27,28,inf
24076,27,28,inf
24077,27,28,inf
24078,27,28,inf
24079,27,28,inf
24080,27,28,inf
24081,27,28,inf
24082,27,28,inf
24083,27,28,inf
24084,27,28,inf
